entorno_ejecucion,motor,doc_id,nombre_pdf,ruta_relativa_repo,ruta_absoluta_pdf,page_index,campo,valor_gold,valor_pred,exactitud_binaria,tiempo_pagina_s,len_texto_pagina,fecha_corrida
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,moneda,PEN,PEN,1,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,monto_subtotal,,,N/A,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,monto_igv,,,N/A,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,monto_total,991.70,991.70,1,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,ruc_receptor,,,N/A,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,razon_social_emisor,AMIQUERO AHUI CARLOS FERNANDO,,0,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,ruc_emisor,20380795907,,0,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,tipo_documento,nota_pago,,0,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,serie_numero,1792-26-95-2601620,,0,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,fecha_emision,2026-02-10,2026-02-10,1,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,moneda,PEN,PEN,1,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,monto_subtotal,,,N/A,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,monto_igv,,,N/A,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,monto_total,991.70,,0,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,ruc_receptor,,,N/A,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,5,razon_social_emisor,,,N/A,0.0193,1167,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,ruc_emisor,,,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,tipo_documento,informe_comision,informe_comision,1,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,serie_numero,,00242,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,fecha_emision,2026-02-27,,0,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,moneda,,,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,monto_subtotal,,,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,monto_igv,,,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,monto_total,,,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,ruc_receptor,,,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,7,razon_social_emisor,,,N/A,0.034,2078,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,ruc_emisor,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,tipo_documento,anexo_informe,,0,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,serie_numero,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,fecha_emision,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,moneda,,,N/A,0.0371,1486,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,rend-debedsar-amiquero-2026,rend-debedsar-amiquero-2026.pdf,data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/rend-debedsar-amiquero-2026.pdf,8,monto_subtotal,,,N/A,0.0371,1486,2026-04-14
